case,keff,unc
hp6_rod_withdrawn_Na_T600_refl10,1.33072319,0.00041356
hp6_rod_withdrawn_Na_T600_refl10,1.33072319,0.00041356
hp6_rod_withdrawn_Na_T600_refl10,1.24730007,0.00036063
hp6_rod_withdrawn_Na_T600_refl10,1.21343029,0.00039423
hp6_rod_withdrawn_Na_T600_refl10,1.13669280,0.00042213
hp6_rod_withdrawn_Na_T600_refl10,1.09329756,0.00043428
hp6_rod_withdrawn_Na_T600_refl10,1.05212407,0.00041590
hp6_rod_withdrawn_Na_T600_refl10,1.05212407,0.00041590
hp6_rod_withdrawn_Na_T600_refl10,1.05212407,0.00041590
hp6_rod_withdrawn_Na_T600_refl10,1.05212407,0.00041590
hp6_rod_withdrawn_Na_T600_refl10,1.05212407,0.00041590
hp6_rod_inserted_B4C_Na_T600_refl10,1.05295067,0.00045460
hp6_rod_inserted_B4C_Na_T600_refl10,1.04519770,0.00039545
hp6_rod_withdrawn_Na_T600_refl10,1.05212407,0.00041590
hp6_rod_withdrawn_Na_T600_refl10,1.05212407,0.00041590
hp6_rod_withdrawn_Na_T600_refl10,1.01898772,0.00043215
hp6_rod_withdrawn_Na_T600_refl10,1.03387609,0.00042287
hp6_rod_inserted_B4C_Na_T600_refl10,1.02318780,0.00042354
hp6_rod_inserted_B4C_Na_T600_refl10,1.02318780,0.00042354
hp6_rod_withdrawn_Na_T600_refl10,1.02678314,0.00036624
hp6_rod_inserted_B4C_Na_T600_refl10,1.01442606,0.00037806
hp6_rod_withdrawn_Na_T600_refl10,1.01898772,0.00043215
hp6_rod_inserted_B4C_Na_T600_refl10,1.00582788,0.00044481
hp6_rod_withdrawn_Na_T600_refl10,0.98018209,0.00045924
hp6_rod_withdrawn_Na_T600_refl10,0.98018209,0.00045924
hp6_rod_withdrawn_Na_T600_refl10,0.99372999,0.00038710
hp6_rod_withdrawn_Na_T600_refl10,1.02208953,0.00036779
hp6_rod_inserted_B4C_Na_T600_refl10,1.01111568,0.00043794
hp6_rod_inserted_B4C_Na_T600_refl10,1.00510462,0.00038094
hp6_rod_inserted_B4C_Na_T600_refl10,1.00161468,0.00039992
hp6_rod_inserted_B4C_Na_T600_refl10,0.99720336,0.00040364
hp6_rod_withdrawn_Na_T600_refl10,1.00857120,0.00037183
hp6_rod_withdrawn_Na_T600_refl10,1.01792426,0.00042251
hp6_rod_inserted_B4C_Na_T600_refl10,1.00835430,0.00037054
hp6_rod_inserted_B4C_Na_T600_refl10,0.96404386,0.00038508
hp6_rod_inserted_B4C_Na_T600_refl10,0.98902150,0.00037267
hp6_rod_withdrawn_Na_T600_refl10,1.00214007,0.00042177
hp6_rod_withdrawn_Na_T600_refl10,1.04724273,0.00043185
hp6_rod_withdrawn_Na_T600_refl10,1.00707277,0.00037049
hp6_rod_withdrawn_Na_T600_refl10,1.01169601,0.00038230
hp6_rod_inserted_B4C_Na_T600_refl10,0.99795547,0.00042462
hp6_rod_withdrawn_Na_T600_refl10,1.01169601,0.00038230
hp6_rod_withdrawn_Na_T600_refl10,1.01169601,0.00038230
hp6_rod_inserted_B4C_Na_T600_refl10,0.99795547,0.00042462
hp6_rod_inserted_B4C_Na_T600_refl10,0.99795547,0.00042462
hp6_rod_withdrawn_Na_T600_refl10,1.01169601,0.00038230
hp6_rod_inserted_B4C_Na_T600_refl10,0.99795547,0.00042462
hp6_rod_inserted_B4C_Na_T600_refl10,0.99795547,0.00042462
hp6_rod_withdrawn_Na_T600_refl10,1.01138293,0.00018470
hp6_rod_withdrawn_Na_T600_refl10,1.01138293,0.00018470
hp6_rod_withdrawn_Na_T600_refl10,1.01169601,0.00038230
